id, masv, xeploai, soquyetdinh, ngaycapvb
76804,182EDDDCXPvAibaEXe+1P/4gNbgredAYJhLzP30B, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76805,882C1D7FXPvAibaEXe9fwZBwsCOuQPUdyMrENQrr, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76806,83845261XPvAibaEXe9hPQQhQOOPyYvq0zhwjv2w, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76807,82EB45E9XPvAibaEXe9eSUilQ3V71rLMOFZnU1bQ, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76808,86251376XPvAibaEXe+9GFX9aWroRIB/Av3VNcgb, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76809,DACFD4A5XPvAibaEXe9Xnw4t0GPgx+xvqv2s103W, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76810,BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76811,1874573AXPvAibaEXe/FejQN8/S5fLmLJ8y3qJ+f, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76812,30F6C945XPvAibaEXe/Lh6v1XxTKJVD20kccXwaQ, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76813,AC1D5CB1XPvAibaEXe+BHZkA9XgGXbBgkPwySdH1, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76814,6BB4FBF8XPvAibaEXe/XBbLEWRhgQYrCodpVCa+j, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76815,538FDEFEXPvAibaEXe9P07hcrvmhCe3unM2XvNXE, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76816,F309234EXPvAibaEXe/YKAlYnC3m9+IBO6iZJ0Cn, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76817,A2233613XPvAibaEXe+/EkvXK98KbS5Ipe6z9qPE, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76818,A983754AXPvAibaEXe/K6d36/fqcEdlTFj1DNngv, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76819,BC40304FXPvAibaEXe/K6d36/fqcEefQQtlAr3/B, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76820,5B6EEE16XPvAibaEXe/PGAaNNWvbUKB+697ALtA7, Gi?i, 713/QĐ_ĐHCNTT, 06/10/2017
76821,1C23EAB7XPvAibaEXe/HrmBtV6rCht56WLJoO8h/, Kh�, 713/QĐ_ĐHCNTT, 06/10/2017
76822,DDB9E00CXPvAibaEXe/Xn8KZjn44cdZNDzzd5bIQ, Kh�, 713/QĐ_ĐHCNTT, 06/10/2017
76823,52A13A56XPvAibaEXe8Y+/3uR2PkTBzKGlmHNdAe, Xu?t s?c, 823/QĐ_ĐHCNTT, 21/11/2017
76824,6F75613CXPvAibaEXe8/3iNqySORbxrmFjIeDct7, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76825,082CA1BDXPvAibaEXe9h45naFhFKYgXejbIyWnsM, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76826,702D2CF3XPvAibaEXe8ooYk4mkUGmA64Z/iLP3mB, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76827,E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76828,FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76829,0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76830,77AF8F32XPvAibaEXe8k9aD0YXzUPoj2oI/UFM4b, Gi?i, 823/QĐ_ĐHCNTT, 21/11/2017
76831,57203F91XPvAibaEXe9JDlHA4z2GHFHVJ5vTRj7d, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76832,C5AB8E67XPvAibaEXe+5f3nhbX2eh0F3gDayami1, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76833,29430069XPvAibaEXe+TFgEDwYNnvUaz/ItEjR3K, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76834,D3CF8A69XPvAibaEXe9/su+qLcYDMseXWfkodzkh, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76835,B2204322XPvAibaEXe/SxwNRab2vgCFsjDisX+gc, Kh�, 823/QĐ_ĐHCNTT, 21/11/2017
76899,2F08E330XPvAibaEXe9KDsVv3cRkMcUAjGGB+quv, Trung b�nh Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76900,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey, Trung b�nh Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76901,5032DD33XPvAibaEXe9X5bpEKoa0mil88XvSiR4r, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76902,81F211BEXPvAibaEXe9Xnw4t0GPgx1AaPdjIiPDQ, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76903,12A9523FXPvAibaEXe+lwq621ApacfioDy2WOjEt, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76904,CF64EF5DXPvAibaEXe+PhKfQb0+XJ/i3djEe18Vw, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76914,99325C17XPvAibaEXe8wlx2/dthDAuX2r9IBWF/q, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76915,EAFB8611XPvAibaEXe+wmtNhlfgIwhUtxuTJu+OP, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76916,5688EF7BXPvAibaEXe8wMpKQnQ7j6N3au2DJ/ayN, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76917,97C2C03FXPvAibaEXe+PhKfQb0+XJ2fDNXQs9az5, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76918,BC4D7362XPvAibaEXe/zHDidEgqCTtuOJqWtyJVx, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76919,9EF161A4XPvAibaEXe+gsTDvgY5pDiTxGuafuV/2, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76920,741BAEACXPvAibaEXe80gGmWuNekT1wC4lREx8CX, Trung b�nh Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76921,BB1A9EF5XPvAibaEXe/uH+ehSKMSjQysGck5FHrj, Trung b�nh Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76922,F03B1465XPvAibaEXe97hU2RTHdNnBRrvP91HIpv, Gi?i, 66/QĐ_ĐHCNTT, 19/01/2018
76923,C0190846XPvAibaEXe/K6d36/fqcEe9FN5eCB80E, Gi?i, 66/QĐ_ĐHCNTT, 19/01/2018
76924,04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN, Gi?i, 66/QĐ_ĐHCNTT, 19/01/2018
76925,302C659FXPvAibaEXe80gGmWuNekT9HQE57P7S6C, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76926,37930AD7XPvAibaEXe9CtFSNMbfIz8i9KHQMn+p1, Kh�, 66/QĐ_ĐHCNTT, 19/01/2018
76927,7DE2E094XPvAibaEXe/ji2wENvGp6JB8Dx018brq, Gi?i, 66/QĐ_ĐHCNTT, 19/01/2018
76996,FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
76997,B646C3C8XPvAibaEXe83V/kFvw2bBVmhVT6fEz4k, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
76998,DEE53B1AXPvAibaEXe+vL6q6thZ0Nu5juVpB1ljH, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
76999,BCC346C2XPvAibaEXe+gsTDvgY5pDhgO3+5ZTm70, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77000,62654F5DXPvAibaEXe9jjgNhrmbJFPIZXXeZlnxy, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77001,1F7628F8XPvAibaEXe9aucNQ7/14aOyjtUGYaNi7, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77002,A465B59BXPvAibaEXe99GOtI/HwJhTcVZiHi+eIc, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77003,149BDD84XPvAibaEXe9CtFSNMbfIz6gM1EejySf8, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77004,7259E977XPvAibaEXe86736b6Ol+/PreEMY8ftS4, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77005,91C557BBXPvAibaEXe9X5bpEKoa0mhzvi3xnxIFE, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77006,AB4D8F99XPvAibaEXe/YKN5ysyYL7EjErJAJK5l+, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77008,0C4BAF73XPvAibaEXe9MQ7MBXxp/M/xAK3s0gD7g, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77010,D55EBAD9XPvAibaEXe9Z67almz7y5tkcxWS/xrjc, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77011,33540BD5XPvAibaEXe+P6Zzp7Rb5oCZdb2RzFYFL, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77013,85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77014,8DD54882XPvAibaEXe+lo6eJkHWaQfUDaN2PBVrw, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77015,0E631785XPvAibaEXe9X5bpEKoa0mgPWtTwg2Rv7, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77016,809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77017,6243A4C3XPvAibaEXe8Y+/3uR2PkTKXbgDAmBgVN, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77018,B4303CD0XPvAibaEXe+nZBq3b0XEhVoLjxUZrYZX, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77019,1369CC1CXPvAibaEXe/Lh6v1XxTKJbwCI0v6qDc2, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77020,A1FD63B1XPvAibaEXe8s1xx8DWM0qunOL2/GjkW1, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77021,2D49AC3CXPvAibaEXe8Cym7B6GX+TjCt0Zgg9NLj, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77022,E14F2356XPvAibaEXe9MQ7MBXxp/MwdcddkuxZqr, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77023,57C7C955XPvAibaEXe+9GFX9aWroRJfzpb5XMZKA, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77024,0EF14EF0XPvAibaEXe+P6Zzp7Rb5oKuNeayOdU2C, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77025,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77026,EF1CC696XPvAibaEXe/FejQN8/S5fEIReZ4QsFjV, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77027,CC33262AXPvAibaEXe/Hpk/kOf6+1VzXmlbKHSON, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77028,FE217971XPvAibaEXe/K6d36/fqcEWnmv5EpZwoo, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77029,BD5769A2XPvAibaEXe/FWKstHRRDncikzfXvRYvA, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77030,A438E310XPvAibaEXe8VekUw4ELehh5JZ8Xkd+Ce, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77031,4EC92EA7XPvAibaEXe+5f3nhbX2eh0DMegX78U1l, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77032,D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77035,F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77036,64E9FDE3XPvAibaEXe9hPQQhQOOPyStw/R4lOHbB, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77037,4D645550XPvAibaEXe+cD1fKElqxL9313y/YAPXl, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77043,0FC485B7XPvAibaEXe+lwq621ApacWNSIxSrdxsm, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77044,979A928AXPvAibaEXe/lOccskaOiO+maJG9wgnrj, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77045,741A5568XPvAibaEXe83V/kFvw2bBX1pd9YZoFG+, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77046,50F45E0FXPvAibaEXe+1j/AqdkpM28+W/hgGnHN2, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77047,8850B56AXPvAibaEXe8Y+/3uR2PkTM01dracEFoq, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77048,E907A4DAXPvAibaEXe+Y5CB/5gt3MMEtpeI9uUCE, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77050,9D53300DXPvAibaEXe8ydgsBCmjqA2j6bQSrS7Xs, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77051,FE47542BXPvAibaEXe/zHDidEgqCTsUbPsTLcOnH, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77052,8270E1A1XPvAibaEXe8WD3qnVG2b/bk87zIhFkE3, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77053,19FCF965XPvAibaEXe/uH+ehSKMSjS7xqgfRcN58, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77055,48D92F82XPvAibaEXe8Cym7B6GX+Tqsl9buO6vGi, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77056,791CF17BXPvAibaEXe9h45naFhFKYlGHEDi2lHY1, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77057,920C35D4XPvAibaEXe9/su+qLcYDMuUFi2r5AeYR, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77058,782F4D5EXPvAibaEXe/Bn5cQSu92Wf+l+2EyY/Lh, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77060,C5653867XPvAibaEXe8wlx2/dthDAvgNFAzhdDbA, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77061,7DC76130XPvAibaEXe9E+KuE/nFliSlMSAt5Iod+, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77062,F0C15C4CXPvAibaEXe/7sxkigC7f5yQxLj4lTYh9, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77063,270990B2XPvAibaEXe/yXiKgsgy0ssIlT09WGo+h, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77064,06C6AAD0XPvAibaEXe+sfU1lcH9y3zgRyMrp1zMy, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77068,78C9EA49XPvAibaEXe+vL6q6thZ0NhALeRXc2ArA, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77069,2228C44BXPvAibaEXe+vL6q6thZ0NpZHB2a6uthQ, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77070,320B887AXPvAibaEXe+UdHzq6I3zLfdLeFbIOUbf, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77071,21F2C6C1XPvAibaEXe97hU2RTHdNnJKy2oLy/QXC, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77072,CD52678BXPvAibaEXe97hU2RTHdNnHA5E5DKdC+D, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77073,B55901AAXPvAibaEXe/FejQN8/S5fMZXWPtKAshB, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77074,F40991DEXPvAibaEXe/Dy4K4yiQpOBb9BiaNhvoj, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77075,13A5B89FXPvAibaEXe/V2dF0qjs8besyGZFsyWqW, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77076,933C1FD5XPvAibaEXe9M021iVaAwILPVFi2513M9, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77077,40AD33BCXPvAibaEXe9M021iVaAwIPHYg7fxj42i, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77078,412DC926XPvAibaEXe+5f3nhbX2eh9nFdw3I/18R, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77079,53BABCB4XPvAibaEXe+5f3nhbX2eh3E+k8+0vrzk, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77080,19AF2911XPvAibaEXe+5oCRQPDKXspXuHdyFwzXw, Gi?i, 222/QĐ-ĐHCNTT, 10/04/2018
77081,ED6EF6C8XPvAibaEXe/Hpk/kOf6+1RerfM4Z/+YU, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77082,E6A68052XPvAibaEXe8k9aD0YXzUPjDIBsjZnI4k, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77083,8CFE0343XPvAibaEXe8jolcsAIssTO2PM0KveWKn, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77084,EFEA3D9BXPvAibaEXe//3t8+us0X0rWgfBUvJ9Bi, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77085,A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77086,24DC3D8AXPvAibaEXe8ge2UHv4J4B18QuY8RUYi8, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77087,3E437E83XPvAibaEXe+cD1fKElqxL3AMjMxrtDdl, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77088,4D3A7564XPvAibaEXe+lo6eJkHWaQXS675WWbm48, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77089,9B47D5AEXPvAibaEXe8/3iNqySORb2yc7gdXyezc, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77090,CAF1C679XPvAibaEXe+yU1j0ocViqc3aOVuIyn2Y, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77091,9060AE5FXPvAibaEXe80gGmWuNekT7ow9cjIQrPL, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77093,EA3AD08BXPvAibaEXe+TFgEDwYNnvUPQ6K65N1LS, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77094,9D61C40EXPvAibaEXe+TFgEDwYNnvTf7BJNA2L5v, Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
77095,CA877136XPvAibaEXe8ydgsBCmjqA45MdXmTWxGh, Trung b�nh Kh�, 222/QĐ-ĐHCNTT, 10/04/2018
